id,sender_id,date,text,etiket
106900,-1001201138291.0,2024-12-02 22:40:09+00:00,bm suriyedeki çatışmalar nedeniyle 48 binden fazla kişi evini terk etti haberin detaylarıhttpsanlatilaninotesicomtr202412031091085276html takip edin sputnik türkiyehttpstmetr_sputnik,Tarafsız
104196,-1001201138291.0,2024-11-06 12:20:26+00:00,rus havauzay kuvvetlerine ait su25 mürettebatı kursk bölgesinin sınır hattında ukrayna ordusunun zırhlı araçlarını ve askeri personelini hava bombalarıyla vurdu takip edin sputnik türkiyehttpstmetr_sputnik,Olumsuz
105197,-1001201138291.0,2024-11-15 11:40:12+00:00,yeni zelanda parlamentosunda yer alan maori kabilesi üyeleri yerli maorilerin haklarını ilgilendiren tartışmalı yasa tasarısını geleneksel haka dansı ile protesto etti __savaş dansı olarak da bilinen ülkenin en önemli kültür sembollerinden biri olan haka dansı eskiden savaşlardan önce savaşçıların güçlerini göstermeleri ve karşı tarafı korkutmaları amacıyla yapılırdı__ takip edin sputnik türkiyehttpstmetr_sputnik,Olumsuz
104695,-1001201138291.0,2024-11-11 09:48:39+00:00,israil durdurun demişti hollanda polisi filistin için yürüyen protestoculara saldırdı 100 kişi gözaltında ayrıntılarhttpsanlatilaninotesicomtr202411111090257044html,Tarafsız
7811,640170916.0,2024-12-02 18:04:41+00:00,reklamlarını sok dakika adıyla vermen götlük olmuyor mu,Tarafsız
7374,7556384739.0,2024-12-01 19:59:49+00:00,siacilar mi bu karıştırdı başka yerle,Tarafsız
6539,6988670388.0,2024-11-29 15:38:41+00:00,türkiyenin desteklediği grupların çoğu türkmen,Tarafsız
9013,5827726581.0,2024-12-06 17:26:10+00:00,yani pkk destekleyen teröristin direkt kendisidir,Olumsuz
30891,-1001174252940.0,2024-12-05 19:11:56+00:00,güney korede polis ohal ilan eden cumhurbaşkanı yoon suk yeol hakkında vatana ihanet soruşturması açtı,Tarafsız
75680,8113346027.0,2024-11-26 15:46:50+00:00,aaaa hocam merhaba,Tarafsız
106702,-1001201138291.0,2024-11-29 14:10:02+00:00,italyanın torino kentinde ülke çapındaki grev sırasında polisle öğrenciler arasında çatışmalar çıktı takip edin sputnik türkiyehttpstmetr_sputnik,Tarafsız
8744,-1001869363265.0,2024-11-24 05:49:41+00:00,ürdünde gece saatlerinde israil büyükelçiliği önünde silahlı olay yaşandı saldırganı ürdün polisi öldürdü 3 polis de yaralandı,Olumsuz
7266,-1002495078419.0,2024-12-01 13:05:09+00:00,adalet bakanı yılmaz tunç hakaret ederseniz sonunuz eski chp genel başkanı gibi olur,Olumsuz
8910,7886920441.0,2024-12-06 16:49:39+00:00,iran mi mustafa yalan üstüne yalan pozisyon üstüne pozisyon veriyorsun bu grupta iran hakkında yazdıklarımı grup üyeleri bilir asıl fitneci sensin ve ayrıca senin zihniyetin kendisinden olmayan herkese hain muamelesi yapar,Olumsuz
7934,-1002495078419.0,2024-12-03 09:12:29+00:00,verilere göre 2025te memur maaşları memur 45062 tl teknisyen 46713 tl öğretmen 52366 tl hemşire 52891 tl vaiz 54738 tl uzman öğretmen 58035 tl polis memuru 58308 tl avukat 62958 tl araştırma görevlisi 63196 tl başkomiser 64405 tl şube müdürü 65651 tl mühendis 66972 tl profesör 95361 tl uzman doktor 108010 tl hürriyet,Tarafsız
107210,-1001201138291.0,2024-12-05 23:53:33+00:00,abdli gazeteci carlsona röpotaj veren rusya dışişleri bakanı lavrovun açıklamalarından detaylar elbette tüm komşularımızla normal ilişkilere sahip olmak isteriz genel olarak tüm ülkelerle özellikle de abd gibi büyük bir ülkeyle rusya devlet başkanı vladimir putin amerikan halkına abd tarihine ve abdnin dünyadaki başarılarına duyduğu saygıyı defalarca dile getirdi rusya ve abdnin evrenin iyiliği için işbirliği yapmaması için hiçbir neden görmüyoruz durumu daha da kötüleştirmek istemiyoruz ancak atacms ve diğer uzun menzilli silahlar rus topraklarında kullanıldığı için sinyaller gönderiyoruz kimsenin nüfusunun yok edilmesinden bahsetmiyoruz bu savaşı biz başlatmadık natonun sınırlarımıza yaklaşmasının sorun yaratacağı konusunda yıllardır uyarıda bulunuyoruz putin yıllardır bunu uluslararası platformlarda tarihin sonu ve hakimiyet hayali kuran insanlara anlatıyor ukraynada darbe gerçekleştiğinde amerikalılar darbenin arkasında olduklarını gizlemediler bize yaptırımlar uygulandığından bu yana çok şey öğrendik bunlar barack obama döneminde başladı ve donald trumpın ilk döneminde geniş çapta devam etti halep ve çevresinde yaşananlardan sonra türk dışişleri bakanı fidanın yanı sıra iranlı mevkidaşım arakçi ile de görüştüm bu hafta bir araya gelme konusunda mutabık kaldık ayrıntılarhttpsanlatilaninotesicomtr202412061091223690html,Olumsuz
104074,-1001201138291.0,2024-11-05 21:24:49+00:00,israilin beyrutun 30 kilometre güneyindeki barjada bir apartmanı vurduğu olay yerinden sosyal medya görüntüleri lübnan medyası ölü sayısının 25e yükseldiğini bildirdi hayatını kaybedenlerin çoğu kadın ve çocuklardan oluşuyor kurtarma ekipleri enkazı kaldırma ve hayatta kalanları kurtarma çalışmalarını sürdürüyor,Tarafsız
104678,-1001201138291.0,2024-11-11 08:20:13+00:00,kabinede önemli isimler de var cumhurbaşkanı erdoğan iit ve arap birliği olağanüstü zirvesi için riyada gidiyor ayrıntılarhttpsanlatilaninotesicomtr202411111090253155html,Tarafsız
5953,609517172.0,2024-11-27 19:49:39+00:00,hey there hüseyin and welcome to haberanti grup how are you,Tarafsız
29918,-1001174252940.0,2024-11-13 22:05:39+00:00,cübbeli ahmetten aşk acısı çekenlere tavsiye karı mı yok memlekette ya sana bir dua öğreteyim 1000 kat iyisini bulursun,Tarafsız
6264,-1002495078419.0,2024-11-28 17:03:54+00:00,suriye rejim güçlerinden tümgeneral hisham hail alhakim muhaliflerle yapılan çatışma sonucu öldürüldü,Olumsuz
104673,-1001201138291.0,2024-11-11 07:40:01+00:00,hakem halil umut melere yumruklu saldırıda karar faruk kocaya 3 yıl 7 ay hapis cezası haberin tamamı içinhttpsanlatilaninotesicomtr202411111090251830html,Olumsuz
30527,-1001174252940.0,2024-11-27 18:35:42+00:00,israil ordusunun üst düzey subayı haham tzvi koganı 2 gün önce baede öldüren 3 özbek istanbulda yakalandı baeye iade edildi,Olumsuz
104711,-1001201138291.0,2024-11-11 13:00:05+00:00,erdoğan israilin saldırganlığı sona ermedikçe uluslararası alanda tecrit edilmeli haberin detayıhttpsanlatilaninotesicomtr202411111090268868html takip edin sputnik türkiyehttpstmetr_sputnik,Olumsuz
8448,-1001869363265.0,2024-11-20 20:04:30+00:00,izmirde 3 polis memurumuzun yaralandığı saldırıyı protesto eden vatandaşlar saldırganın dükkanını taşladı,Olumsuz
8491,-1001869363265.0,2024-11-21 13:59:42+00:00,işgal israil beyrutun daaheh semtine saldırı düzenliyor,Olumsuz
104656,-1001201138291.0,2024-11-11 04:45:51+00:00,doğanın gizli şifa kaynağı türkiyede ziyaretçilerini mucizesiyle büyülüyor doğal ağrı kesici sulu mağaraya akın haberin detaylarıhttpsanlatilaninotesicomtr202411111090245366html takip edin sputnik türkiyehttpstmetr_sputnik,Tarafsız
106589,-1001201138291.0,2024-11-28 13:12:03+00:00,ismet özçelikle ankara farkı 28 kasım 2024 tarihli yayın kaydı,Tarafsız
7406,6002647969.0,2024-12-01 20:06:33+00:00,bende islam için canımı veririm,Tarafsız
7911,-1002495078419.0,2024-12-03 08:42:45+00:00,uşakta eşini bıçaklayarak öldüren koca olayın ardından bir inşaatın 5 katından atlayarak intihar etti,Olumsuz
106480,-1001201138291.0,2024-11-27 13:20:03+00:00,95 yaşındaki demans hastası kadını şok tabancasıyla vurup ölümüne neden olan polis suçlu bulundu ayrıntılarhttpsanlatilaninotesicomtr202411271090885516html,Olumsuz
75444,7472183762.0,2024-11-09 18:19:58+00:00,yok mu arkadaşlar alacağınız olsun,Tarafsız
30295,-1001174252940.0,2024-11-22 22:49:41+00:00,bursada 18 yaşındaki bir genç kendisine harçlık vermeye dedesini defalarca bıçaklayarak ağır yaraladı,Olumsuz
8744,6397815662.0,2024-12-05 20:22:32+00:00,güvenlikçiler günah yaw,Tarafsız
